mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
203087,GAA26WA203,2026-05-28 08:50:00+00:00,Nyíregyháza,Other Foreign,Hungary,,CIRRUS SR22 AIR,Unknown,
203193,DCA26WA238,2026-05-27 00:00:00+00:00,Sidi Errabia,Other Foreign,Algeria,,BOEING 737,Enroute-climb to cruise,
203054,ERA26FA214,2026-05-26 13:47:00+00:00,Saratoga Springs,New York,United States,,PIPER PA-25-235 AIR,Initial climb,
203076,CEN26LA203,2026-05-26 08:48:00+00:00,Fort Worth,Texas,United States,,ROBINSON HELICOPTER CO R66 HELI,Maneuvering-hover,
203096,CEN26LA212,2026-05-24 11:00:00+00:00,Georgetown,Texas,United States,,CESSNA 172S AIR,Landing,
203150,ERA26LA235,2026-05-23 09:54:00+00:00,Bartow,Florida,United States,,PIPER PA-24-250 AIR,Landing,
203075,CEN26LA202,2026-05-22 18:40:00+00:00,Comanche,Texas,United States,,PIPER PA-32R-300,Initial climb,
203107,CEN26LA216,2026-05-20 17:45:00+00:00,Northport,Michigan,United States,,CESSNA 182P AIR,Taxi,
203142,GAA26WA211,2026-05-20 13:45:00+00:00,Aquidauana,Other Foreign,Brazil,,NEW GLASAIR GLASAIR SUPER II AIR,Enroute-cruise,
203047,ERA26LA213,2026-05-18 12:30:00+00:00,Statesville,North Carolina,United States,,CESSNA 177RG AIR,Landing,
203346,GAA26WA248,2026-05-16 09:30:00+00:00,Limburghof,Other Foreign,Germany,,NORTH AMERICAN T28 AIR,Unknown,
203026,DCA26WA209,2026-05-16 04:00:00+00:00,Split,,Croatia,,Airbus 220 AIR,Takeoff-rejected takeoff,
203014,GAA26WA192,2026-05-16 04:00:00+00:00,Lincolnshire,Other Foreign,United Kingdom,,SONEX AIRCRAFT SONEX AIR,Approach-VFR pattern final,
202990,WPR26FA186,2026-05-14 00:15:00+00:00,Lincoln,New Mexico,United States,,BEECH C90 AIR,Approach,
203008,WPR26LA194,2026-05-13 15:35:00+00:00,Palo Alto,California,United States,"The pilot’s failure to maintain directional control during the landing roll, in gusting crosswind conditions.",AUTOGYRO CAVALON GYRO,Landing-landing roll,0106203020|0106202020|0206304044|0303404081|0303404581
203005,CEN26LA188,2026-05-13 14:40:00+00:00,Corpus Christi,Texas,United States,,PIPER PA-34-220T AIR,Landing-flare/touchdown,
202998,WPR26LA187,2026-05-12 16:52:00+00:00,Sedona,Arizona,United States,,CIRRUS DESIGN CORP SR20 AIR,Landing-landing roll,
202994,DCA26LA203,2026-05-12 04:00:00+00:00,Gulf of America,Gulf of America,United States,,SHIELD AI INC V-BAT UNMANNED,Standing-engine(s) operating,
202973,WPR26LA182,2026-05-11 21:00:00+00:00,Jurupa Valley,California,United States,,AMERICAN AA-5 AIR,Landing,
202980,GAA26WA188,2026-05-07 17:37:00+00:00,Augsburg,Other Foreign,Germany,,HAWKER BEECHCRAFT CORP B300 AIR,Unknown,
202951,CEN26LA181,2026-05-07 12:03:00+00:00,Oxford,Colorado,United States,,HUGHES 369HS HELI,Landing-flare/touchdown,
202952,ANC26FA039,2026-05-07 10:55:00+00:00,Armistead,California,United States,,CESSNA 182T AIR,Unknown,
202936,WPR26LA176,2026-05-03 08:15:00+00:00,Rio Rancho,New Mexico,United States,"The passenger’s improper hand placement on the basket upright during landing, which resulted in injury when the upright fractured during the basket’s bounce and drag sequence.",CAMERON BALLOONS US C-80 BALL,Landing-flare/touchdown,0204101043|0203201043
202926,ERA26LA196,2026-05-01 16:04:00+00:00,Bangor,Maine,United States,,BEECH C23 AIR,Initial climb,
202924,ERA26LA195,2026-05-01 12:30:00+00:00,Bealeton,Virginia,United States,,AIR TRACTOR INC AT-602 AIR,Landing,
